score	review	y
5	제가 너무너무너무 좋아하는 인생 성크림.. 세일 할때 무조건 다 쟁여놓으셔야합니다 제발. 제가 이걸 지인들한테 얼마나 추천했는지 추천하는 족족 모두가 만족스러워 해요.. 그래서 세일 들어가면 썬크림 필요했던 지인들한테 계속 선물하고 있어요! 엄청 만족	1
3	발랐을 때 따갑거나 밀림이나 뜨지도 않았고 딱 좋았어요! 향은 그냥 많이 아시는 선크림 향이 나서.. 호불호가 갈릴수도 있을 것 같아요!! 약간에 커버도 되는것같고요~!! 저는 좀 더 밝은 피부를 원해서 톤업크림과 섞어 발랐는데도 좋았습니닷~!! 발림은 살짝 뻑뻑하다고 느낄 수도 있을것같아요	0
5	이 제품 요물이에요!! 종근당에서 화장품도 나온다고? 하는 기대감에 구매해봤어요. 일단 톤업이 너무너무 잘돼요! 요즘 베이스화장 안하고 선크림만 바르고 다니는데, 화장 다 한 것처럼 피부가 완전 깔끔해져요???? 기미잡티 다 가려지구요. 근데 베이스 한것보단 피부가 덜 답답하고, 선크림인 만큼 햇빛 다 가려져서 너무 좋아요 ! 	1
3	물건을 받고 사용해보니 일단 모공?요철?은 잘 안가려집니다ㅠ 톤보정 좀 되는 정도인거같아요 제가 피지오겔을 쓰는데 그거랑 궁합이 안맞는건지 아님 그냥 제 피부랑 안맞는건지는 잘 모르겠어요 마스크에도 잘 묻어나는 편입니다	0
3	불만족합니다 피부가 누래지고 지속력은 좋긴하지만 전반적인 만족도는 떨어집니다	0
5	파데프리 메이크업할 때 쓰면 좋은 선크림인 것 같아요. 커버도 잘 되고 다만 조금 건조해서 화장 뜰 수 있어요	1
4	썬크림 겸 톤업 크림으로 쓸 만한 것을 찾다가 후기가 좋아서 사게 되었어요. 기존에 쓰던 화이트닝 크림들은 아무래도 바른 직후이 좀 번들번들거리거나 찐득하고, 시간이 지나면 건조하다는 느낌을 받았어요. 발림성도 편하게 막 바르는 정도가 아니었구요. 그렇지만 씨케이디 그린프로폴리스 올커버리선은 바를 때 좀 톡톡 두드리며 발라주면 금방 피부결 정돈이 되고 지속력도 꽤나 오래 간다고 느꼈습니다. 저는 완전 21호 피부인데 제 피부 톤이랑 너무 같아서, 혹은 조금 어두워서 결과 피부 붉은기 정돈만 되지 톤 업이 되는 것은 전혀 느끼지 못했습니다. 피부 상태 안 좋은 날에는 다크닝이나 들뜸이 심할 것 같긴 하구요. 그렇지만 피부가 정돈되어 보인다는 점에서 화장을 하지 않을 때 정말 유용하게 쓸 수 있을 것 같아요! 다 쓰면 재구매 의사 있습니다.	1
5	성분도 좋고 가격도 좋고 제품력도 좋아요.아주 부드럽게 발리구요.약간 묻어남이 있지만 신경쓰일 정도는 아니네요 추천합니다.	1
5	일단 발림성이 정말 좋아요 여러 제품을 써 봤지만 이 제품처럼 발림성 좋은 제품은 드문 거 같아요 일단 뻑뻑하지 않아요 그래서 손으로 발라도 잘 발리고 도구를 사용해도 잘 발립니다 정말 좋았어요 파데프리 하기 좋은 제품이라고 한 이유가 파운데이션처럼 두껍게 발려서 커버되는 제품이 아니라 자연스러운 톤 보정이 됩니다 톤업 크림처럼 하얗게 둥둥뜨는 그런 제품이 아니라 정말 자연스럽게 커버되서 잡티는 못가리지만 이 시기에 답답하게 커버하는 것 보다 커버력이 덜 해도 피부가 덜 답답한게 좋았어요 어느정도의 잡티는 가려주는 커버력입니다 피부타입을 딱히 가리는 제품은 아닌 거 같아요 다만 보송하게 마무리되는 타입이라 많이 건조함을 느끼는 피부타입은 기초를 잘 해주시면 될 거 같아요 허브향 같은 게 나면서 바르면서도 기분 좋았습니다 재구매 의사 있어요	1
5	일단 발림성이 정말 좋아요 여러 제품을 써 봤지만 이 제품처럼 발림성 좋은 제품은 드문 거 같아요 일단 뻑뻑하지 않아요 그래서 손으로 발라도 잘 발리고 도구를 사용해도 잘 발립니다 정말 좋았어요 파데프리 하기 좋은 제품이라고 한 이유가 파운데이션처럼 두껍게 발려서 커버되는 제품이 아니라 자연스러운 톤 보정이 됩니다 톤업 크림처럼 하얗게 둥둥뜨는 그런 제품이 아니라 정말 자연스럽게 커버되서 잡티는 못가리지만 이 시기에 답답하게 커버하는 것 보다 커버력이 덜 해도 피부가 덜 답답한게 좋았어요 어느정도의 잡티는 가려주는 커버력입니다 피부타입을 딱히 가리는 제품은 아닌 거 같아요 다만 보송하게 마무리되는 타입이라 많이 건조함을 느끼는 피부타입은 기초를 잘 해주시면 될 거 같아요 허브향 같은 게 나면서 바르면서도 기분 좋았습니다 재구매 의사 있어요	1
5	추천받아서 샀는데 너무 좋아요 일단 톤업이 거의 비비크림 느낌으로 자연스럽게 잘 되는 것 같구요 보통 톤업선크림 뻑뻑하고 발림성이 별로인데 이건 진짜 발림성이 좋은 편인 것 같아요 피부가 좋을때 쓰면 파운데이션없이도 피부 좋아보이는 효과가 있네요	1
5	제가 원래 쓰던 인생 선크림이 있었는데 요거 쓰고 갈아탔어요 슝슝=3=3 처음엔 너무 색상이 어두운거 아닌가? 싶었는데 발라보니 전혀 그렇지 않았어요. 피부 상태가 안좋아도 각질, 요철 부각이 심하지 않습니다. 증말증말 최고!.! 파데 프리하기에 너무 좋아용 커버 선크림이어서 백탁은 없고 선크림에 충실한 비비 크림 같습니당 CKD에 다른 선크림도 있던데 고것도 살까 싶어여	1
5	피부타입지성에 좋아요발림성아주 만족해요자극도자극없이 순해요 민감지성인데 번들거리지 않고 아주 가벼운 팩트 같은 밀착력이 있어요 땀을 많이 흘려서 팩트 대체용으로 구매했습니다. 발림성 뻑뻑하지 않고 부드럽게 잘 발리는데 생각보다 많이 묻어나오지 않는거같아요 마스크 쓰기 부담 스럽지 않았어요	1
4	파데프리 하고 싶었는데 추천영상 봐도 무슨 생얼크림 수준인걸 추천해주는거에요ㅠㅠ (파데프리 추천 많이 올라오는 것 중 하나는 커버력도 없고 어둡고 지저분해지는것도 있었음..) 얘는 별로 후기도 없고 궁금해서 그냥 속는 셈 치고 샀는데 나쁘지 않아요! 일단 이거 바르고 얼굴 어두워지지도 않고 적당히 바르면 톤도 뭔가 보정 되는 느낌이에요! 잡티가 엄청 가려지지는 않지만 생얼크림의 빡치는 수준은 아닙니다! 단 지성분들은 파우더 써 주셔야 하고요, 닥터지처럼 깔끔하고 보송하게 마무리 되는 느낌은 아니에요! 그리고 건조한 상태에서 바르면 각질 부각이 있어서 촉촉하게 발라야 좋지만 지금은 여름^^ 걍 선크림 바르고 위에 얘 바르시면 됩니다!	1
5	좀 세일좀 많이했으면 좋겠어요. 파데프리로 마스크낄때 좋아요.	1
5	핑크색보다 훨씬 자연스러운 톤업이 됩니다. 23호에도 흰 막 씌운듯 또는 목과 색상이 다르게 보이는 일 없이 정말 자연스럽게 톤업이 돼요. 색상 때문에 틴모 느낌도 나네요. 색이 묽은 느낌이라 21호도 충분히 다크닝 없이 바를수 있겠어요. 선크림답게 많이 발라도 뜨거나 뭉치는 일도 없어요. 색소가 뭉쳐서 자국 남는 일도 없구요. 자차지수도 50이면 50 그대로 나온다니 더 좋구요. 23호라 톤업무기자차 못쓰던 분들 추천합니다.	1
5	원래 라로슈퍼제 썬크림만 사용했는데, 이 썬크림을 사용한 후로는 마지막 단계로는 이 썬그림만 사용해요???? 진짜 부드럽게 발리구요. 맨 처음 향이 별로여서 차라리 무향이면 좋을거 같다는 리뷰를 보고 걱정했아요. 근데 직접 발라보니 저는 지금 향이 좋더라구요?! :) 그래서 이번년도 들어 아주 잘 사용하고 있는 썬크림입니다! 다른 썬크림과 다르게 톤이 일정하게 발리는게 너무 좋아요????? + 저는 향도 제 취향입니다,, 그래서 바를때 마다 너무 좋아요..!  저는 요즘 라로슈퍼제 썬크림 -> 올 커버리션 -> 다크 서클 부분에 컨실러 사용해주는데 간단하면서도 피부 표현이 너무 이쁘게 되더라구요?! 그리구 스파츌라를 이용해서 사용해주면 표현이 더더욱 이쁘더라구요,, 인생 썬크림 만난거 같아요..! 평생 팔아주세요…!!~~	1
5	제발 제발 이거 왜 안사세요? 저 모공 진짜 크고 각질도 심한 피부인데요 지성 베이스에 수부지인데요 이 선크림 요물이에요 진짜 마스크 쓰면 쿠션이나 파데나 프라이머에 파우더 떡칠을 해도 마스크에 묻고 그 피부 답답함에 미칠거같아하다 같은 브랜드 아이크림 살때 샘플로 받은 올커버리선에 반해서 바로 질렀어요 지속력 대박이고 예쁘게 무너지고 마스크에 덜묻어요 그리고 피부톤 정리 대박이에요 아 물론 흉터 커버는 쉽지않아여 그대신 걍 그 부위만 컨실어 톡톡 해주면 돼요 ㅠㅠ 진짜 바르는 요령? 그냥 손으로 스윽스윽 바르고 톡톡톡 해주면 끝이에요 퍼프? 필요없어요 ㄹㅇ 그냥 선크림이다 보니까 피부 자체 답답함도 적고 메이크업 시간도 빠르고 그냥 완벽합니다 진짜 친구들한테 추천하고 엄마한테도 추천하고 하 진짜 저 선크림 정착한적 없는데 이 제품 딱 하나 정착할거에요  제발 오래 팔아주세요	1
